"0","1","2"
"Q","您好。感谢您参与本次学术研究。本研究旨在了解用户对数字游戏产品说明的看法。您将阅读一个游戏产品说明，并根据自己的真实想法回答若干问题。本问卷仅用于学术研究，所有数据将匿名处理，不涉及对错。整份问卷大约需要3至5分钟。","图文说明"
"Q0","您通常玩数字游戏的频率是？","单选题"
"","选项序号","选项内容"
"","1","少于每月1次"
"","2","每月1至3次"
"","3","每周1至2次"
"","4","每周3至5次"
"","5","几乎每天"
"Q","请想象您正在浏览一个数字游戏平台，并看到以下一款新上线的付费叙事角色扮演游戏。请仔细阅读该产品页面，并根据您的第一印象回答后续问题。游戏名称：永恒回响游戏类型：付费叙事角色扮演游戏价格：68元游戏简介：进入一个充满古代遗迹、隐秘势力和分支剧情的奇幻世界。探索不断展开的地图，与独特角色互动，做出有意义的选择，并揭开影响你旅程走向的秘密游戏特色：分支剧情与角色关系系统世界探索与任务系统多重对话选项沉浸式奇幻世界观","图文说明"
"Q","请想象您正在浏览一个数字游戏平台，并看到以下一款新上线的付费叙事角色扮演游戏。请仔细阅读该产品页面，并根据您的第一印象回答后续问题。游戏名称：永恒回响游戏类型：付费叙事角色扮演游戏价格：68元游戏简介：进入一个充满古代遗迹、隐秘势力和分支剧情的奇幻世界。探索不断展开的地图，与独特角色互动，做出有意义的选择，并揭开影响你旅程走向的秘密。游戏特色：分支剧情与角色关系系统世界探索与任务系统多重对话选项沉浸式奇幻世界观说明：本游戏使用生成式人工智能，在游戏开发阶段预先生成了部分对话、剧情事件和世界内容；玩家游玩时，人工智能不会继续参与这些内容的生成。","图文说明"
"Q","请想象您正在浏览一个数字游戏平台，并看到以下一款新上线的付费叙事角色扮演游戏。请仔细阅读该产品页面，并根据您的第一印象回答后续问题。游戏名称：永恒回响游戏类型：付费叙事角色扮演游戏价格：68元游戏简介：进入一个充满古代遗迹、隐秘势力和分支剧情的奇幻世界。探索不断展开的地图，与独特角色互动，做出有意义的选择，并揭开影响你旅程走向的秘密。游戏特色：分支剧情与角色关系系统世界探索与任务系统多重对话选项沉浸式奇幻世界观说明：本游戏使用生成式人工智能，在玩家游玩过程中实时生成部分对话、游戏事件和世界内容。","图文说明"
"Q1","该产品页面表明，这款游戏使用了生成式人工智能。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q2","该产品页面表明，生成式人工智能主要是在游戏开发阶段预先生成了部分游戏内容。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q3","该产品页面表明，生成式人工智能主要是在玩家游玩过程中实时生成游戏内容。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q4","我觉得这款游戏体现了大量的人类创作努力。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q5","我觉得这款游戏的制作投入了大量的人类努力。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q6","我觉得这款游戏是经过人类精心打磨而成的。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q7","我觉得这款游戏凝聚了相当多的人类劳动。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q8","我觉得这款游戏给人一种新颖的感觉。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q9","我觉得这款游戏是一种新鲜而令人兴奋的游戏产品。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q10","我觉得这款游戏代表了一种新颖的数字游戏形式。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q11","我会考虑购买这款游戏。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q12","我购买这款游戏的意愿较高。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q13","我购买这款游戏的可能性较高。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q14","如果这款游戏现在可以购买，我会有兴趣购买它。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q15","您最多愿意为这款游戏支付多少钱？请填写金额（单位：元）","填空题"
"Q16","我通常愿意尝试使用新技术的产品。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q17","我通常对技术创新持积极态度。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q18","我对融入人工智能的产品感兴趣。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q19","我通常喜欢叙事型角色扮演游戏。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q20","我对这种类型的游戏比较熟悉。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q21","这种类型的游戏符合我的个人兴趣。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q22","我对生成式人工智能技术比较熟悉。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q23","我了解生成式人工智能在数字产品中的典型用途。","量表题"
"","选项序号","选项内容"
"","1","1"
"","2","2"
"","3","3"
"","4","4"
"","5","5"
"","6","6"
"","7","7"
"Q24","为确保您认真作答","单选题"
"","选项序号","选项内容"
"","1","非常不满意"
"","2","不满意"
"","3","满意"
"","4","非常满意"
"Q26","您的性别是？","单选题"
"","选项序号","选项内容"
"","1","男"
"","2","女"
"Q27","您的年龄是？","单选题"
"","选项序号","选项内容"
"","1","18岁以下"
"","2","18-25岁"
"","3","26-35岁"
"","4","36-45岁"
"","5","46-55岁"
"","6","56-65岁"
"","7","65岁以上"
"Q28","您的最高学历是？","单选题"
"","选项序号","选项内容"
"","1","高中及以下"
"","2","大专"
"","3","本科"
"","4","硕士"
"","5","博士及以上"
"Q29","您平均每周玩数字游戏的时长约为？","单选题"
"","选项序号","选项内容"
"","1","少于1小时"
"","2","1至3小时"
"","3","4至7小时"
"","4","8至14小时"
"","5","14小时以上"
