"作答ID","用户ID","开始时间","结束时间","作答总时长(秒)","作答渠道","发布ID","问卷发布名称","IP","经度","纬度","省份","城市","设备类型","操作系统类型","浏览器类型","屏幕分辨率","随机元素","您好。感谢您参与本次学术研究。本研究旨在了解用户对数字游戏产品说明的看法。您将阅读一个游戏产品说明，并根据自己的真实想法回答若干问题。本问卷仅用于学术研究，所有数据将匿名处理，不涉及对错。整份问卷大约需要3至5分钟。","作答时长(毫秒)","您通常玩数字游戏的频率是？","作答时长(毫秒)","请想象您正在浏览一个数字游戏平台，并看到以下一款新上线的付费叙事角色扮演游戏。请仔细阅读该产品页面，并根据您的第一印象回答后续问题。游戏名称：永恒回响游戏类型：付费叙事角色扮演游戏价格：68元游戏简介：进入一个充满古代遗迹、隐秘势力和分支剧情的奇幻世界。探索不断展开的地图，与独特角色互动，做出有意义的选择，并揭开影响你旅程走向的秘密游戏特色：分支剧情与角色关系系统世界探索与任务系统多重对话选项沉浸式奇幻世界观","作答时长(毫秒)","请想象您正在浏览一个数字游戏平台，并看到以下一款新上线的付费叙事角色扮演游戏。请仔细阅读该产品页面，并根据您的第一印象回答后续问题。游戏名称：永恒回响游戏类型：付费叙事角色扮演游戏价格：68元游戏简介：进入一个充满古代遗迹、隐秘势力和分支剧情的奇幻世界。探索不断展开的地图，与独特角色互动，做出有意义的选择，并揭开影响你旅程走向的秘密。游戏特色：分支剧情与角色关系系统世界探索与任务系统多重对话选项沉浸式奇幻世界观说明：本游戏使用生成式人工智能，在游戏开发阶段预先生成了部分对话、剧情事件和世界内容；玩家游玩时，人工智能不会继续参与这些内容的生成。","作答时长(毫秒)","请想象您正在浏览一个数字游戏平台，并看到以下一款新上线的付费叙事角色扮演游戏。请仔细阅读该产品页面，并根据您的第一印象回答后续问题。游戏名称：永恒回响游戏类型：付费叙事角色扮演游戏价格：68元游戏简介：进入一个充满古代遗迹、隐秘势力和分支剧情的奇幻世界。探索不断展开的地图，与独特角色互动，做出有意义的选择，并揭开影响你旅程走向的秘密。游戏特色：分支剧情与角色关系系统世界探索与任务系统多重对话选项沉浸式奇幻世界观说明：本游戏使用生成式人工智能，在玩家游玩过程中实时生成部分对话、游戏事件和世界内容。","作答时长(毫秒)","该产品页面表明，这款游戏使用了生成式人工智能。","作答时长(毫秒)","该产品页面表明，生成式人工智能主要是在游戏开发阶段预先生成了部分游戏内容。","作答时长(毫秒)","该产品页面表明，生成式人工智能主要是在玩家游玩过程中实时生成游戏内容。","作答时长(毫秒)","我觉得这款游戏体现了大量的人类创作努力。","作答时长(毫秒)","我觉得这款游戏的制作投入了大量的人类努力。","作答时长(毫秒)","我觉得这款游戏是经过人类精心打磨而成的。","作答时长(毫秒)","我觉得这款游戏凝聚了相当多的人类劳动。","作答时长(毫秒)","我觉得这款游戏给人一种新颖的感觉。","作答时长(毫秒)","我觉得这款游戏是一种新鲜而令人兴奋的游戏产品。","作答时长(毫秒)","我觉得这款游戏代表了一种新颖的数字游戏形式。","作答时长(毫秒)","我会考虑购买这款游戏。","作答时长(毫秒)","我购买这款游戏的意愿较高。","作答时长(毫秒)","我购买这款游戏的可能性较高。","作答时长(毫秒)","如果这款游戏现在可以购买，我会有兴趣购买它。","作答时长(毫秒)","您最多愿意为这款游戏支付多少钱？请填写金额（单位：元）","作答时长(毫秒)","我通常愿意尝试使用新技术的产品。","作答时长(毫秒)","我通常对技术创新持积极态度。","作答时长(毫秒)","我对融入人工智能的产品感兴趣。","作答时长(毫秒)","我通常喜欢叙事型角色扮演游戏。","作答时长(毫秒)","我对这种类型的游戏比较熟悉。","作答时长(毫秒)","这种类型的游戏符合我的个人兴趣。","作答时长(毫秒)","我对生成式人工智能技术比较熟悉。","作答时长(毫秒)","我了解生成式人工智能在数字产品中的典型用途。","作答时长(毫秒)","为确保您认真作答","作答时长(毫秒)","您的性别是？","作答时长(毫秒)","您的年龄是？","作答时长(毫秒)","您的最高学历是？","作答时长(毫秒)","您平均每周玩数字游戏的时长约为？","作答时长(毫秒)"
"作答ID","用户ID","开始时间","结束时间","作答总时长","作答渠道","发布ID","问卷发布名称","IP","经度","纬度","省份","城市","设备类型","操作系统类型","浏览器类型","屏幕分辨率","随机元素","Q","Q 作答时长(毫秒)","Q0","Q0 作答时长(毫秒)","Q","Q 作答时长(毫秒)","Q","Q 作答时长(毫秒)","Q","Q 作答时长(毫秒)","Q1","Q1 作答时长(毫秒)","Q2","Q2 作答时长(毫秒)","Q3","Q3 作答时长(毫秒)","Q4","Q4 作答时长(毫秒)","Q5","Q5 作答时长(毫秒)","Q6","Q6 作答时长(毫秒)","Q7","Q7 作答时长(毫秒)","Q8","Q8 作答时长(毫秒)","Q9","Q9 作答时长(毫秒)","Q10","Q10 作答时长(毫秒)","Q11","Q11 作答时长(毫秒)","Q12","Q12 作答时长(毫秒)","Q13","Q13 作答时长(毫秒)","Q14","Q14 作答时长(毫秒)","Q15","Q15 作答时长(毫秒)","Q16","Q16 作答时长(毫秒)","Q17","Q17 作答时长(毫秒)","Q18","Q18 作答时长(毫秒)","Q19","Q19 作答时长(毫秒)","Q20","Q20 作答时长(毫秒)","Q21","Q21 作答时长(毫秒)","Q22","Q22 作答时长(毫秒)","Q23","Q23 作答时长(毫秒)","Q24","Q24 作答时长(毫秒)","Q26","Q26 作答时长(毫秒)","Q27","Q27 作答时长(毫秒)","Q28","Q28 作答时长(毫秒)","Q29","Q29 作答时长(毫秒)"
"NRw1WyG3o4r","eEK1OX67","2026-04-27 23:35:24","2026-04-27 23:38:19","175","数据集市","ABJV7z","数字游戏产品评价研究","111.55.35.15","102.8313260","24.8424240","云南省","昆明市","MOBILE","Android","Chrome","424px*946px","块 3","1","1000","2","9937","","","1","1000","","","7","83548","2","9543","3","4125","2","3296","3","1925","2","2183","3","2017","5","1640","5","1934","5","2348","4","1964","4","1871","4","1462","3","3017","18","9627","5","7418","5","1208","5","1064","3","3889","5","2970","3","2267","3","2807","5","2801","1","1770","2","2380","2","767","3","1444","2","2871"
"oBDrKr0EZY4","G7XKnPGM","2026-04-27 23:35:12","2026-04-27 23:37:31","139","数据集市","ABJV7z","数字游戏产品评价研究","175.2.132.79","113.0118720","28.1405000","湖南省","长沙市","MOBILE","Android","Chrome","320px*712px","块 3","1","1000","4","5146","","","1","1000","","","6","77713","6","664","1","1190","6","11082","7","1178","6","592","6","1047","7","1102","6","2126","5","3302","5","2438","4","1377","5","836","5","1620","68","2875","5","2178","6","1193","7","1027","5","1591","6","1289","5","1369","5","1137","4","2194","1","1790","2","2766","3","957","3","1565","3","1594"
"Q4yrW6WK6Gv","Mr5PAgEe","2026-04-27 23:34:08","2026-04-27 23:36:39","151","数据集市","ABJV7z","数字游戏产品评价研究","120.225.237.73","120.3899330","36.1854500","山东省","青岛市","MOBILE","Android","Chrome","362px*804px","块 4","1","1000","5","11140","","","","","1","1000","7","33094","6","10874","6","13028","7","4163","7","2555","7","2131","7","1607","7","1801","7","1810","7","3044","6","1906","6","1987","6","1665","6","1986","60","12867","6","6778","6","347","6","2026","6","3194","5","2972","6","3212","5","2365","5","2766","1","2261","2","3316","5","1729","2","2304","3","10781"
"gnzA8wDo1xk","LVJvkgkL","2026-04-27 23:33:36","2026-04-27 23:36:29","173","数据集市","ABJV7z","数字游戏产品评价研究","112.224.28.139","117.0284360","36.2274080","山东省","泰安市","MOBILE","Android","Chrome","412px*915px","块 4","1","1000","5","5136","","","","","1","1000","7","48982","1","1223","7","2699","6","1040","6","601","6","1231","6","8812","7","876","6","439","6","901","7","824","7","344","7","912","7","384","68","24888","6","706","7","421","6","606","6","501","7","480","7","1110","7","1065","7","345","1","839","1","2321","2","486","2","1454","2","1576"
"XOngoNdPOyw","7lO5ga5M","2026-04-27 23:06:25","2026-04-27 23:09:32","187","数据集市","ABJV7z","数字游戏产品评价研究","117.136.27.222","107.1963530","36.1931570","甘肃省","兰州市","MOBILE","Android","Chrome","360px*800px","块 2","1","1000","3","1784","1","1000","","","","","2","32438","3","3131","1","7400","5","4580","5","978","6","2265","7","3682","3","26860","2","1634","3","1903","3","1662","2","2941","3","15411","3","11860","68","6216","3","7303","6","6122","6","2653","3","14310","5","1992","4","2685","5","4223","3","5717","1","2011","2","4444","3","1289","3","3335","2","4013"
"WPdqJNadWOE","qM6X310L","2026-04-27 23:04:20","2026-04-27 23:07:50","210","数据集市","ABJV7z","数字游戏产品评价研究","112.49.218.11","119.3657000","25.7309000","福建省","福州市","COMPUTER","Windows","Chrome","1536px*864px","块 4","1","1000","5","3736","","","","","1","1000","6","61798","5","1571","5","1786","6","2250","6","1593","5","2394","5","15651","6","1569","7","1318","6","1368","6","1628","7","1514","7","1172","6","643","99","2971","7","5725","7","1092","6","845","5","1034","5","2080","6","856","6","1974","7","1009","1","1355","1","1541","2","783","3","883","4","929"
"mnZ3KvOaXdx","veEQwAve","2026-04-27 23:01:00","2026-04-27 23:06:25","325","数据集市","ABJV7z","数字游戏产品评价研究","111.60.186.178","112.9269420","29.8396100","湖北省","荆州市","MOBILE","Android","Chrome","376px*835px","块 2","1","1000","4","5484","1","1000","","","","","2","31765","2","1021","1","998","5","3036","6","805","6","1090","7","1083","5","1453","5","941","6","970","6","1724","7","1539","7","474","7","1066","68","9772","5","709","5","1071","4","1629","6","2624","6","1032","7","790","5","1526","4","1220","1","892","2","1467","3","733","3","1319","3","1419"
"oBDrdbm02yK","LGBXpzp7","2026-04-27 22:53:53","2026-04-27 23:06:15","742","数据集市","ABJV7z","数字游戏产品评价研究","111.46.25.198","114.3510750","30.5553450","湖北省","武汉市","MOBILE","Android","Chrome","388px*837px","块 2","1","1000","3","2289","1","1000","","","","","1","9738","2","2480","2","1931","6","1761","6","1539","6","1886","7","1005","7","1363","6","1061","7","477675","6","1080","6","957","5","1457","6","4244","25","3647","5","1821","6","1973","5","2036","6","1569","6","672","7","1964","5","1132","6","807","1","1425","2","1851","2","442","3","1343","2","1852"
"NRw1qO06JAb","7aQQYaN7","2026-04-27 22:59:47","2026-04-27 23:05:48","361","数据集市","ABJV7z","数字游戏产品评价研究","125.73.24.185","108.3200040","22.8240200","广西壮族自治区","南宁市","COMPUTER","Windows","WeChat","1536px*864px","块 4","1","1000","4","2067","","","","","1","1000","7","21176","3","5942","6","5372","5","3852","5","3158","4","3439","5","1838","6","1470","6","1129","5","1216","6","2012","5","1418","6","1575","5","2275","50","7249","6","6016","7","2258","5","1339","6","1259","5","1252","6","1829","5","2590","5","691","1","6361","2","1776","2","832","3","2187","3","6338"
